timestamp,zone_id,zone_name,lat,lon,air_temperature,humidity,wind_speed,ndvi,canopy_pct,shade_pct,surface_type,student_count,exposure_hours,provenance
2026-07-01T00:00:00,zone_01,playground,40.7128,-74.006,25.4,88.7,2.6,0.21,5.0,10.0,asphalt,3,0.0,synthetic
2026-07-01T00:00:00,zone_02,parking_lot,40.713,-74.0062,26.8,92.2,1.4,0.23,0.0,0.0,asphalt,0,0.0,synthetic
2026-07-01T00:00:00,zone_03,courtyard,40.7126,-74.0058,24.3,83.4,0.3,0.53,15.0,25.0,concrete,0,0.0,synthetic
2026-07-01T00:00:00,zone_04,building_roof,40.7129,-74.0059,27.0,86.9,1.3,0.65,0.0,0.0,concrete,0,0.0,synthetic
2026-07-01T00:00:00,zone_05,sports_field,40.7131,-74.0061,23.7,84.9,1.5,0.53,0.0,5.0,grass,0,0.0,synthetic
2026-07-01T00:00:00,zone_06,library_exterior,40.7127,-74.0057,23.7,92.0,2.3,0.41,20.0,35.0,concrete,0,0.0,synthetic
2026-07-01T00:00:00,zone_07,cafeteria_patio,40.7125,-74.0063,23.5,86.0,2.8,0.32,40.0,50.0,concrete,0,0.0,synthetic
2026-07-01T00:00:00,zone_08,walkway,40.7132,-74.0056,26.1,92.7,2.2,0.75,10.0,15.0,asphalt,1,0.0,synthetic
2026-07-01T00:00:00,zone_09,garden,40.7124,-74.0064,22.6,88.2,0.5,0.68,60.0,70.0,grass,0,0.0,synthetic
2026-07-01T00:00:00,zone_10,gym_exterior,40.7133,-74.0065,23.7,86.5,0.9,0.66,10.0,20.0,concrete,0,0.0,synthetic
2026-07-01T00:00:00,zone_11,admin_building,40.7123,-74.0055,23.4,91.0,3.0,0.64,25.0,30.0,concrete,1,0.0,synthetic
2026-07-01T00:00:00,zone_12,entrance_plaza,40.7134,-74.0066,25.6,87.3,0.5,0.14,5.0,10.0,asphalt,2,0.0,synthetic
2026-07-01T01:00:00,zone_01,playground,40.7128,-74.006,25.1,83.1,2.8,0.72,5.0,10.0,asphalt,2,0.0,synthetic
2026-07-01T01:00:00,zone_02,parking_lot,40.713,-74.0062,26.7,86.4,3.0,0.49,0.0,0.0,asphalt,1,0.0,synthetic
2026-07-01T01:00:00,zone_03,courtyard,40.7126,-74.0058,24.7,91.3,0.0,0.12,15.0,25.0,concrete,1,0.0,synthetic
2026-07-01T01:00:00,zone_04,building_roof,40.7129,-74.0059,27.0,89.8,2.9,0.27,0.0,0.0,concrete,0,0.0,synthetic
2026-07-01T01:00:00,zone_05,sports_field,40.7131,-74.0061,24.9,85.1,1.2,0.75,0.0,5.0,grass,0,0.0,synthetic
2026-07-01T01:00:00,zone_06,library_exterior,40.7127,-74.0057,24.7,90.1,2.3,0.23,20.0,35.0,concrete,0,0.0,synthetic
2026-07-01T01:00:00,zone_07,cafeteria_patio,40.7125,-74.0063,24.0,89.6,1.3,0.26,40.0,50.0,concrete,0,0.0,synthetic
2026-07-01T01:00:00,zone_08,walkway,40.7132,-74.0056,25.8,85.8,0.0,0.26,10.0,15.0,asphalt,0,0.0,synthetic
2026-07-01T01:00:00,zone_09,garden,40.7124,-74.0064,23.0,84.2,1.8,0.46,60.0,70.0,grass,0,0.0,synthetic
2026-07-01T01:00:00,zone_10,gym_exterior,40.7133,-74.0065,24.4,90.9,2.0,0.31,10.0,20.0,concrete,0,0.0,synthetic
2026-07-01T01:00:00,zone_11,admin_building,40.7123,-74.0055,24.3,94.0,1.8,0.2,25.0,30.0,concrete,0,0.0,synthetic
2026-07-01T01:00:00,zone_12,entrance_plaza,40.7134,-74.0066,26.3,86.6,2.8,0.63,5.0,10.0,asphalt,0,0.0,synthetic
